iid,title,state,labels,kind,status,priority,modules,owner_agents,test_types,validation_commands,blocked_by,updated_at,web_url,content_hash
"11","Harden agent context for multi-turn sessions and runtime boundaries","closed","area/context; area/repo; kind/design; status/closed","design","closed","P1","Runtime / Protocol; Context / Governance","runtime-protocol-skill-chain-tester; issue-intelligence-analyst","functional; runtime","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","Requires explicit real-provider environment.","2026-06-28T13:44:47.885Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/11","f1494d4a141db978"
"12","Build GitLab desktop release workflow and explicit release skill with stable/alpha artifact support","closed","area/deploy; area/docs; area/e2e; area/scripts; area/skills; kind/release; priority/high; status/closed","release","closed","P0","Assistant; Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; runtime; integration; e2e; release","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","Requires explicit real-provider environment.","2026-06-28T13:44:48.876Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/12","1d98e32e47da3b5e"
"13","Refine GitLab workflow skills with maintainer-grade issue/MR judgment rules","closed","area/context; area/repo; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; Projects / GitLab; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; issue-intelligence-analyst","functional; runtime; integration","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:46:04.984Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/13","b4ae7f18d15c9729"
"14","Enforce resolved MR discussions before merge","closed","area/repo; area/scripts; area/skills; kind/chore; status/closed","chore","closed","P1","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:44:50.506Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/14","09e0727ec43852ac"
"15","接入标准 OAuth2 / Lingxi OAuth2 SSO，并完成组织信息落库绑定","closed","area/db; area/docs; area/e2e; area/electron; area/preload; area/scripts; area/server; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","Projects / GitLab; UI / UX; E2E / Release / Platform; Compliance / Security; Context / Governance","functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator; compliance-security-tester; issue-intelligence-analyst","functional; integration; UI; e2e; security","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","Lingxi OAuth2 to GitLab token exchange dependency.","2026-06-28T13:44:51.984Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/15","307d80369c3ef893"
"16","Complete desktop release GitLab Release page integration for internal-first alpha/stable publish","closed","area/docs; area/repo; area/scripts; area/skills; kind/release; status/closed","release","closed","P1","Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e; release","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:44:52.719Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/16","5b3c03db68f849e3"
"17","design: 冻结 Deepbank vs Teams 的能力边界，删减 Teams 原生域重复实现","closed","area/context; area/docs; area/electron; area/preload; area/projects; area/server; area/ui; kind/design; status/closed","design","closed","P1","Projects / GitLab; UI / UX; Context / Governance","functional-test-case-designer; ui-product-experience-tester; issue-intelligence-analyst","functional; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","Requires explicit real-provider environment.","2026-06-28T13:44:53.543Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/17","742ae02628cb610e"
"18","云端 agent runtime 打通：单个 ADK runtime server pod 的项目任务远端执行链路","closed","area/deploy; area/docs; area/projects; area/runtime; area/server; kind/design; priority/high; status/closed","design","closed","P0","Runtime / Protocol; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:44:54.225Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/18","932b127669bae9da"
"19","release: remote-server-only desktop release 环境矩阵、客户端配置与发布隔离","closed","area/deploy; area/docs; area/e2e; area/electron; area/preload; area/scripts; area/server; kind/release; priority/high; status/closed","release","closed","P0","UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; e2e; release","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","Requires explicit real-provider environment.","2026-06-28T13:44:54.797Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/19","ab3021a4d61149ab"
"20","design: 建设独立 Deepbank remote control-plane server，集中 PG/API/配置与鉴权","closed","area/db; area/deploy; area/docs; area/e2e; area/electron; area/preload; area/scripts; area/server; kind/design; priority/high; status/closed","design","closed","P0","Projects / GitLab; UI / UX; E2E / Release / Platform; Context / Governance","functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; integration; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","Requires explicit real-provider environment.","2026-06-28T13:44:55.417Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/20","9e6ed2a30c52d6d4"
"21","design: deepbankv2 agent runtime family 切换抽象，支持 Claude Code / Codex SDK","closed","area/context; area/docs; area/e2e; area/electron; area/preload; area/runtime; area/scripts; area/server; area/ui; kind/design; priority/high; status/closed","design","closed","P0","Runtime / Protocol; UI / UX; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T18:49:11.778Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/21","eb9376bbd441e6f3"
"22","feature: deepbankv2 以独立 Electron 进程嵌入 360Teams，替换 deepbank(v1) 入口","opened","area/context; area/docs; area/electron; area/preload; area/ui; kind/feature; priority/high; status/ready","feature","ready","P0","UI / UX; Context / Governance","ui-product-experience-tester; issue-intelligence-analyst","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","Requires explicit real-provider environment.","2026-06-27T09:05:41.060Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/22","9f5ae87bf8142490"
"23","design: migrate Config Center shared config to remote control-plane PG","closed","area/db; area/docs; area/e2e; area/server; area/ui; kind/design; priority/high; status/closed","design","closed","P0","Projects / GitLab; UI / UX; E2E / Release / Platform; Context / Governance","functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; integration; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","Requires explicit real-provider environment.","2026-06-28T13:44:56.923Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/23","7ba2ca39e56e118a"
"24","docs: align desktop-release skill with env-scoped remote release workflow","closed","area/docs; area/scripts; kind/docs; kind/release; status/closed","docs","closed","P1","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:44:57.490Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/24","25a214e5ff5a8a88"
"25","feature: 建设 k8s dev 集成环境，支持本地 Electron 访问远端依赖","closed","area/db; area/deploy; area/docs; area/e2e; area/electron; area/preload; area/runtime; area/scripts; area/server; kind/feature; priority/high; status/closed","feature","closed","P0","Runtime / Protocol; Projects / GitLab; UI / UX; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-29T09:01:31.914Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/25","bda10b8b27862943"
"26","release: provision live dev remote-control-plane descriptor for desktop release","closed","area/deploy; area/docs; kind/release; priority/high; status/closed","release","closed","P0","E2E / Release / Platform; Context / Governance","cross-platform-e2e-validator; issue-intelligence-analyst","functional; e2e; release","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:44:58.847Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/26","e4ad6ca4533e644c"
"27","chore: tighten agent governance skill handoffs","closed","area/context; area/repo; area/skills; kind/chore; status/closed","chore","closed","P2","Skills / MCP / Experts; Context / Governance","runtime-protocol-skill-chain-tester; issue-intelligence-analyst","functional; runtime","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:44:59.376Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/27","5158dd559940dd6f"
"28","docs: Deepbank v2 milestone 1 live progress tracker","opened","area/docs; area/repo; kind/docs; status/ready","docs","ready","P2","Context / Governance","issue-intelligence-analyst","functional","npm run check","Lingxi OAuth2 to GitLab token exchange dependency.","2026-06-29T11:23:44.783Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/28","4244df7159170c03"
"29","feature: 真实身份与 WS 鉴权","closed","area/docs; area/electron; area/preload; area/server; kind/feature; priority/high; status/closed","feature","closed","P0","UI / UX; Context / Governance","ui-product-experience-tester; issue-intelligence-analyst","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","Lingxi OAuth2 to GitLab token exchange dependency.","2026-06-28T13:44:59.923Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/29","e12f33fec4807617"
"30","feature: 平台 Anthropic / LLM 连接接入","closed","area/docs; area/preload; area/server; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","UI / UX; Context / Governance","ui-product-experience-tester; issue-intelligence-analyst","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:45:00.728Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/30","1c93b73c33231022"
"31","feature: SkillHub 技能市场与 runtime 打通","closed","area/docs; area/preload; area/server; area/skills; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","Runtime / Protocol; Skills / MCP / Experts; UI / UX; Context / Governance","runtime-protocol-skill-chain-tester; ui-product-experience-tester; issue-intelligence-analyst","functional; runtime; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:01.375Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/31","b35d72fc51dd6252"
"32","refactor: transcript 文件化存储，移除 sessions.messages 兼容层","closed","area/db; area/docs; area/server; area/test; kind/refactor; priority/high; status/closed","refactor","closed","P0","Projects / GitLab; Context / Governance","functional-test-case-designer; issue-intelligence-analyst","functional; integration","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:45:01.930Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/32","51873e5c6b209d0f"
"33","feature: 项目 assets 同步与 workspace mirror","opened","area/docs; area/projects; area/runtime; area/server; kind/feature; priority/high; status/ready","feature","ready","P0","Runtime / Protocol; Projects / GitLab; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; issue-intelligence-analyst","functional; runtime; integration","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T04:15:38.490Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/33","5b98d2f69ff8d8d6"
"34","feature: 自动化 / 知识闭环","opened","area/docs; area/projects; area/server; area/ui; kind/feature; priority/high; status/ready","feature","ready","P0","Projects / GitLab; Project Automation; UI / UX; Context / Governance","functional-test-case-designer; ui-product-experience-tester; issue-intelligence-analyst","functional; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T18:27:38.190Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/34","ca70251929893f01"
"35","feature: 用户级资源隔离与项目成员权限","closed","area/context; area/db; area/docs; area/e2e; area/electron; area/preload; area/projects; area/server; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","Projects / GitLab; UI / UX; E2E / Release / Platform; Compliance / Security; Context / Governance","functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator; compliance-security-tester; issue-intelligence-analyst","functional; integration; UI; e2e; security","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:02.633Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/35","b2760a73868efce6"
"36","feature: QFIN 品牌化 Electron UI 适配与素材归档","closed","area/docs; area/electron; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","UI / UX; Context / Governance","ui-product-experience-tester; issue-intelligence-analyst","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:45:03.428Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/36","90a54980efad3c85"
"37","Multica 当前私有化部署态说明（升级/改造基线）","closed","area/deploy; area/selfhost; kind/docs; status/closed","docs","closed","P1","E2E / Release / Platform","cross-platform-e2e-validator","functional; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:04.885Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/37","2436946642288146"
"38","Strengthen issue skills with status label and MR checklist gates","closed","area/skills; kind/chore; status/closed","chore","closed","P2","Skills / MCP / Experts","runtime-protocol-skill-chain-tester","functional; runtime","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:05.717Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/38","f48cdb813b42171f"
"39","refactor: 去除业务 IPC fallback，统一本地开发为独立服务，并补 transport case matrix","closed","area/docs; area/e2e; area/electron; area/preload; area/server; kind/refactor; priority/high; status/closed","refactor","closed","P0","UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:06.423Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/39","2e553a8575c25552"
"40","chore: refine desktop-release skill for dev-first env-scoped release workflow","closed","area/docs; area/skills; kind/chore; status/closed","chore","closed","P1","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:07.023Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/40","3f67a23a5fb53394"
"41","design: 补齐 desktop-release 的 Windows 客户端构建 lane，默认仍走 dev-targeted env-scoped 流程","closed","area/deploy; area/docs; area/repo; area/scripts; area/skills; kind/design; priority/high; status/closed","design","closed","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:07.619Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/41","69815b1d2fc26978"
"42","Add electron-local-startup skill for local Electron bootstrap paths","closed","area/skills; kind/chore; status/closed","chore","closed","P2","Skills / MCP / Experts; UI / UX","runtime-protocol-skill-chain-tester; ui-product-experience-tester","functional; runtime; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:08.820Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/42","a6f9ea2d5f65591a"
"43","design: agent-friendly Deepbank Electron UI/UX audit framework","closed","area/docs; area/e2e; area/electron; area/scripts; area/test; area/ui; kind/design; priority/high; status/closed","design","closed","P0","UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:09.413Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/43","3a97a06b2f850b14"
"44","design: Deepbank 横向治理 skill 体系（架构漂移审计 / 产品方向审计）","closed","area/context; area/docs; area/repo; area/scripts; area/skills; kind/design; priority/high; status/closed","design","closed","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:10.195Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/44","8e5461403a9206d5"
"45","release: 补齐 Windows distribution lane，与 mac 双 profile 对齐","opened","area/docs; area/repo; area/scripts; area/skills; kind/release; priority/high; status/in-progress","release","in-progress","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e; release","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T09:07:18.170Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/45","dfb552ccc8fcfaeb"
"46","enhancement: make workflow skills issue-ready with explicit enhancement routing and stable glab lookups","closed","area/docs; area/repo; area/skills; kind/enhancement; status/closed","enhancement","closed","P2","Skills / MCP / Experts; Context / Governance","runtime-protocol-skill-chain-tester; issue-intelligence-analyst","functional; runtime","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:10.786Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/46","64f8ee5944e3b6de"
"47","release: dev-default unsigned functional desktop release for mac and Windows","closed","area/context; area/docs; area/repo; area/scripts; area/skills; kind/release; priority/high; status/closed","release","closed","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e; release","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:12.673Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/47","0ca5fe3d84a6ca7a"
"48","design: institutionalize context and skill governance for long-lived agentic operation","opened","area/context; area/docs; area/repo; area/scripts; area/skills; kind/design; priority/high; status/ready","design","ready","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-29T03:32:23.871Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/48","76148d449b366f40"
